[sweep] 모터 [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] 0토크 폴링 시작 (Ctrl+C로 종료·저장)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.3(+8.3~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.6(+41.6~+41.6) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+25.6(+25.6~+25.6) | 11:+27.4(+27.4~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+8.0(+8.0~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+21.3(+21.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.5(+12.5~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+27.3(+27.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+38.1(+38.1~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+20.3(+20.3~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+26.3(+26.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
1:+37.6(+37.6~+38.1) | 2:+7.6(+7.6~+8.3) | 3:-0.8(-0.8~-0.8) | 4:+19.0(+19.0~+21.3) | 5:+21.2(+21.2~+21.2) | 6:+8.1(+8.1~+8.1) | 7:+41.7(+41.6~+41.7) | 8:+12.2(+12.2~+12.5) | 9:+27.7(+27.7~+27.7) | 10:+26.2(+25.6~+26.2) | 11:+25.4(+25.3~+27.4) | 12:+6.8(+6.8~+6.8)
